Zeit;Verbrauch ;PV-Ertrag;Netzeinspeisung ;Thermische Last ;Außentemperatur
20.01. 08:00;0,30415;0;0;2,7;1,73
20.01. 09:00;0,092631;0,47131;0,37868;2,98;2,77
20.01. 10:00;0,090652;0,99217;0,90152;3,32;3,86
20.01. 11:00;0,14984;2,3256;2,1758;2,88;5,31
20.01. 12:00;1,3611;2,5788;1,2177;2,61;6,37
20.01. 13:00;0,57411;5,7807;5,2066;2,33;7,64
20.01. 14:00;1,4034;4,5049;3,1015;2,75;8,13
20.01. 15:00;0,05379;4,2025;4,1487;2,74;8,11
20.01. 16:00;0,91892;0,011691;0;2,78;6,99
20.01. 17:00;0,90068;0;0;2,73;6,71
20.01. 18:00;1,2262;0;0;3,03;6,42
20.01. 19:00;0,28111;0;0;3,55;6,14
20.01. 20:00;0,69137;0;0;3,89;5,86
20.01. 21:00;0,87888;0;0;3,53;5,57
20.01. 22:00;0,24098;0;0;2,3;5,29
20.01. 23:00;0,016089;0;0;1,92;5,01
21.01. 00:00;0,016161;0;0;1,93;4,89
21.01. 01:00;0,016299;0;0;1,69;4,78
21.01. 02:00;0,016062;0;0;1,49;4,68
21.01. 03:00;0,16533;0;0;1,4;4,64
21.01. 04:00;0,016029;0;0;1,54;4,6
21.01. 05:00;0,016061;0;0;1,95;4,55
21.01. 06:00;0,20008;0;0;2,35;4,53
21.01. 07:00;0,4718;0;0;2,18;4,51
21.01. 08:00;0,35948;0;0;2,15;4,6
21.01. 09:00;0,016193;0,60034;0,58415;2,09;6,04
21.01. 10:00;0,016206;1,8538;1,8376;1,9;7,91
