Zeit;Verbrauch ;PV-Ertrag;Netzeinspeisung ;Thermische Last 
15.01. 23:00;0,016277;0;0;6,7
16.01. 00:00;0,016388;0;0;7
16.01. 01:00;0,016205;0;0;6,4
16.01. 02:00;0,016088;0;0;6,7
16.01. 03:00;0,16205;0;0;6,2
16.01. 04:00;0,015995;0;0;6,9
16.01. 05:00;0,016158;0;0;10
16.01. 06:00;0,1855;0;0;14,2
16.01. 07:00;0,36504;0;0;13,6
16.01. 08:00;0,3553;0;0;10,8
16.01. 09:00;0,016305;0,0035565;0;9,7
16.01. 10:00;0,016036;0,023724;0,0076883;9,6
16.01. 11:00;0,01606;0,05208;0,03602;8,8
16.01. 12:00;0,015969;0,067834;0,051865;8,3
16.01. 13:00;0,16408;3,4773;3,3132;7,8
16.01. 14:00;0,016131;2,8901;2,874;7,7
16.01. 15:00;0,016168;1,6998;1,6836;8,5
16.01. 16:00;0,01615;0,0032588;0;9
16.01. 17:00;1,2769;0;0;9,9
16.01. 18:00;1,3219;0;0;10,9
16.01. 19:00;0,99193;0;0;11,6
16.01. 20:00;0,40411;0;0;12,3
16.01. 21:00;1,133;0;0;11,4
16.01. 22:00;0,33475;0;0;7,3
16.01. 23:00;0,37372;0;0;5,9
17.01. 00:00;0,016202;0;0;5,8
17.01. 01:00;0,016146;0;0;5,1
17.01. 02:00;0,01624;0;0;6,2
17.01. 03:00;0,016295;0;0;6,2
17.01. 04:00;0,16461;0;0;7,5
17.01. 05:00;0,016117;0;0;10,1
17.01. 06:00;0,02146;0;0;13,7
17.01. 07:00;0,20188;0;0;14,2
17.01. 08:00;0,016232;0;0;11,9
17.01. 09:00;0,16688;0,045201;0;10,3
17.01. 10:00;0,016117;0,52734;0,51122;9,3
17.01. 11:00;0,016243;0,50328;0,48704;8,7
17.01. 12:00;0,015931;0,55959;0,54366;7,9
17.01. 13:00;0,015939;5,3909;5,3749;7,8
17.01. 14:00;0,16751;2,9141;2,7466;7,4
17.01. 15:00;0,016181;2,0055;1,9893;7,6
17.01. 16:00;0,016113;0,00020631;0;9,2
17.01. 17:00;1,5519;0;0;9,5
17.01. 18:00;0,51708;0;0;10,3
17.01. 19:00;0,47979;0;0;11,8
17.01. 20:00;0,89803;0;0;12
17.01. 21:00;1,1935;0;0;10,2
17.01. 22:00;0,61992;0;0;6,6
17.01. 23:00;0,48891;0;0;6,4
18.01. 00:00;0,1652;0;0;5,8
18.01. 01:00;0,016056;0;0;5,6
18.01. 02:00;0,016414;0;0;5,5
18.01. 03:00;0,016144;0;0;5,9
18.01. 04:00;0,01609;0;0;6,3
18.01. 05:00;0,16714;0;0;8,7
18.01. 06:00;0,016221;0;0;12,3
18.01. 07:00;0,15667;0;0;11,5
18.01. 08:00;0,061452;0;0;10,3
18.01. 09:00;0,016194;0,0047933;0;8,9
18.01. 10:00;0,16701;0,22263;0,055618;7,8
18.01. 11:00;0,016246;1,3292;1,3129;8
18.01. 12:00;0,016048;1,3017;1,2857;7,3
18.01. 13:00;0,016114;2,1883;2,1722;6,9
18.01. 14:00;0,016067;2,3618;2,3457;7,1
18.01. 15:00;0,1674;2,2537;2,0863;7
18.01. 16:00;0,016018;0,0076639;0;8,2
18.01. 17:00;1,0795;0;0;8,1
18.01. 18:00;1,0868;0;0;9,2
18.01. 19:00;1,6599;0;0;9,2
18.01. 20:00;1,3424;0;0;9,6
18.01. 21:00;0,65379;0;0;9,5
18.01. 22:00;0,40472;0;0;5,2
18.01. 23:00;0,079009;0;0;4,7
19.01. 00:00;0,01603;0;0;3,9
19.01. 01:00;0,16632;0;0;3,7
19.01. 02:00;0,016095;0;0;3,4
19.01. 03:00;0,016139;0;0;4,1
19.01. 04:00;0,016233;0;0;3,8
19.01. 05:00;0,016018;0;0;5,2
19.01. 06:00;0,16422;0;0;7,6
19.01. 07:00;0,21033;0;0;6,7
19.01. 08:00;3,293;0;0;6,1
19.01. 09:00;2,0351;0,76923;0;5,4
19.01. 10:00;1,5787;0,37292;0;5,1
19.01. 11:00;1,4162;1,4793;0,063024;4,4
19.01. 12:00;0,30688;2,7325;2,4256;3,9
19.01. 13:00;0,94579;3,6237;2,6779;4
19.01. 14:00;1,1246;0,84297;0;4,6
19.01. 15:00;0,40929;0,22699;0;4,6
19.01. 16:00;1,0792;0,00025475;0;5,3
19.01. 17:00;0,90153;0;0;5,2
19.01. 18:00;0,6798;0;0;6,2
19.01. 19:00;0,48061;0;0;5,9
19.01. 20:00;1,2305;0;0;6,4
19.01. 21:00;1,3708;0;0;6,3
19.01. 22:00;0,208;0;0;3,8
19.01. 23:00;0,016103;0;0;3,5
20.01. 00:00;0,016119;0;0;3,6
20.01. 01:00;0,016248;0;0;3,3
20.01. 02:00;0,16451;0;0;4,1
20.01. 03:00;0,016132;0;0;3,7
20.01. 04:00;0,016219;0;0;4
20.01. 05:00;0,016193;0;0;6,7
20.01. 06:00;0,20656;0;0;8,2
20.01. 07:00;0,51504;0;0;8,2
20.01. 08:00;0,30415;0;0;7,7
20.01. 09:00;0,092631;0,47131;0,37868;7,5
20.01. 10:00;0,090652;0,99217;0,90152;8,1
20.01. 11:00;0,14984;2,3256;2,1758;7,3
20.01. 12:00;1,3611;2,5788;1,2177;7,5
20.01. 13:00;0,57411;5,7807;5,2066;6,3
20.01. 14:00;1,4034;4,5049;3,1015;6,3
20.01. 15:00;0,05379;4,2025;4,1487;6,7
20.01. 16:00;0,91892;0,011691;0;7,2
20.01. 17:00;0,90068;0;0;7
20.01. 18:00;1,2262;0;0;7,5
20.01. 19:00;0,28111;0;0;8,4
20.01. 20:00;0,69137;0;0;9,3
20.01. 21:00;0,87888;0;0;8,9
20.01. 22:00;0,24098;0;0;5,6
